SENSOR ID,DATE TIME,VALUE STANDARDIZED
106,2020-07-01 01:19:48,-17.88
107,2020-07-01 01:19:48,-16.00
108,2020-07-01 01:19:48,-17.99
110,2020-07-01 01:19:48,-16.99
111,2020-07-01 01:19:48,-16.44
112,2020-07-01 01:19:48,-17.77
113,2020-07-01 01:19:48,-17.99
114,2020-07-01 01:19:48,99.99
115,2020-07-01 01:19:48,-16.33
116,2020-07-01 01:19:48,-16.66
117,2020-07-01 01:19:48,-16.00
118,2020-07-01 01:19:48,-17.77
101,2020-07-01 01:21:19,-17.88
102,2020-07-01 01:21:19,-16.88
103,2020-07-01 01:21:19,-16.99
104,2020-07-01 01:21:19,99.99
109,2020-07-01 01:21:19,-16.55
105,2020-07-01 01:21:19,-16.44
106,2020-07-01 01:21:19,-17.88
107,2020-07-01 01:21:19,-16.11
108,2020-07-01 01:21:19,-16.00
110,2020-07-01 01:21:19,-15.11
111,2020-07-01 01:21:19,-16.55
112,2020-07-01 01:21:19,-17.44
113,2020-07-01 01:21:19,-16.11
114,2020-07-01 01:21:19,99.99
115,2020-07-01 01:21:19,-16.22
116,2020-07-01 01:21:19,-16.66
117,2020-07-01 01:21:19,-16.11
118,2020-07-01 01:21:19,-17.88
103,2020-07-01 01:23:54,-16.66
101,2020-07-01 01:23:54,-18.44
104,2020-07-01 01:23:54,99.99
102,2020-07-01 01:23:54,-16.44
105,2020-07-01 01:23:54,-17.99
106,2020-07-01 01:23:54,-17.22
107,2020-07-01 01:23:54,-17.99
108,2020-07-01 01:23:54,-17.77
109,2020-07-01 01:23:54,-16.11
110,2020-07-01 01:23:54,-16.55
111,2020-07-01 01:23:54,-16.11
112,2020-07-01 01:23:54,-18.33
113,2020-07-01 01:23:54,-17.66
114,2020-07-01 01:23:54,99.99
115,2020-07-01 01:23:54,-17.33
116,2020-07-01 01:23:54,-16.11
118,2020-07-01 01:23:54,-17.22
117,2020-07-01 01:23:54,-17.66
101,2020-07-01 01:26:02,-19.99
102,2020-07-01 01:26:02,-16.11
103,2020-07-01 01:26:02,-16.33
104,2020-07-01 01:26:02,99.99
109,2020-07-01 01:26:02,-17.66
105,2020-07-01 01:26:02,-17.66
106,2020-07-01 01:26:02,-18.77
107,2020-07-01 01:26:02,-17.88
108,2020-07-01 01:26:02,-17.33
110,2020-07-01 01:26:02,-16.11
111,2020-07-01 01:26:02,-17.88
